"stationId","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31"
4207,15,10,8,20,11,1,9,12,16,10,18,-7,8,4,13,5,16,18,10,16,0,8,4,12,-5,6,6,10,6,6,11
4208,9,-4,22,5,-1,20,5,5,14,0,12,8,1,12,7,2,21,1,2,9,21,5,5,22,10,14,-4,24,1,10,5
4209,14,17,-5,8,11,20,6,-8,27,34,18,34,-13,11,16,11,22,5,7,18,10,30,25,-4,18,19,38,27,24,10,-5
4210,38,10,53,34,52,40,24,49,54,17,65,-12,57,13,81,43,32,41,54,31,37,46,13,54,32,57,22,49,37,42,31
4211,6,13,30,27,4,-7,31,22,2,22,21,31,34,31,23,31,19,27,22,34,31,16,32,18,46,7,24,25,9,36,7
4212,-25,30,4,24,16,18,26,15,17,42,24,29,10,34,16,39,10,9,7,-2,27,29,41,33,18,10,24,0,13,10,16
4213,-4,3,7,-5,8,6,8,8,5,7,-8,2,6,0,5,2,10,4,2,-5,-1,-14,6,8,5,1,-5,1,2,3,0
4214,19,84,59,72,54,60,84,55,35,95,81,89,57,50,72,41,106,46,70,63,56,27,59,59,68,71,91,42,86,32,-12
4215,-99,-148,-160,-168,-144,-129,-164,-163,-157,-201,-183,-170,-151,-128,-203,-186,-214,-151,-171,-167,-167,-160,-193,-173,-170,-177,-174,-185,-159,-151,-63
4216,-4,8,-2,-17,8,-7,2,-5,-11,-8,-19,-10,10,-21,-6,0,-5,-3,-12,-9,-11,5,-4,-2,-19,4,4,-17,-18,-6,1
4220,-5,-2,5,-1,-1,-4,-1,9,2,8,9,7,10,11,3,8,6,-9,-5,18,-25,7,-12,0,0,-12,12,-2,-3,-4,0
4227,0,0,2,0,0,0,0,0,-3,-2,-5,4,0,0,0,0,0,0,-4,0,0,0,1,-1,0,0,-2,-1,-1,2,4
4244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
4249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
4254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
